id,type,title,url,slug,words,h1_count,h2_count,h3_count,images,internal_links,faq_count,date,modified,heading_fingerprint,problem_categories,notes
12818,post,شركة شحن داخلي داخل بمكة المكرمة,https://www.rukn-eltatawer.com/sa/domestic-shipping-mecca/,domestic-shipping-mecca,1794,0,23,32,2,58,0,2026-09-06,2026-09-10,835063f0db061652|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
10932,post,شركة تنظيف وصيانة دكتات المكيفات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/duct-cleaning-mecca/,duct-cleaning-mecca,1938,0,23,33,2,59,0,2026-09-06,2026-09-10,809b082f646e8798|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
12817,post,شركة شحن داخلي داخل بجدة,https://www.rukn-eltatawer.com/sa/domestic-shipping-jeddah/,domestic-shipping-jeddah,1713,0,23,30,2,56,0,2026-09-06,2026-09-10,8742e08508b1fe00|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12807,post,شركة شحن سيارات بأبها,https://www.rukn-eltatawer.com/sa/car-shipping-abha/,car-shipping-abha,1719,0,23,32,2,58,0,2026-09-06,2026-09-10,04145549da01d869|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
12823,post,شركة شحن داخلي داخل بأبها,https://www.rukn-eltatawer.com/sa/domestic-shipping-abha/,domestic-shipping-abha,1702,0,23,30,2,56,0,2026-09-06,2026-09-10,8fbcdb85dd1c1560|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12799,post,شركة شحن أثاث بأبها,https://www.rukn-eltatawer.com/sa/furniture-shipping-abha/,furniture-shipping-abha,1732,0,23,32,2,58,0,2026-09-06,2026-09-10,6ad155df51b5a026|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12806,post,شركة شحن سيارات بالطائف,https://www.rukn-eltatawer.com/sa/car-shipping-taif/,car-shipping-taif,1705,0,23,30,2,56,0,2026-09-06,2026-09-10,9c92a7d7a705a3b0|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
12822,post,شركة شحن داخلي داخل بالطائف,https://www.rukn-eltatawer.com/sa/domestic-shipping-taif/,domestic-shipping-taif,1740,0,23,32,2,58,0,2026-09-06,2026-09-10,9ee36a49251b78f6|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12798,post,شركة شحن أثاث بالطائف,https://www.rukn-eltatawer.com/sa/furniture-shipping-taif/,furniture-shipping-taif,1710,0,23,30,2,56,0,2026-09-06,2026-09-09,ce4f15ee4de5cf2b|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
11036,post,شركة تنظيف وصيانة دكتات المكيفات بالطائف,https://www.rukn-eltatawer.com/sa/duct-cleaning-taif/,duct-cleaning-taif,1893,0,23,33,2,59,0,2026-09-06,2026-09-10,65c4fb1c18c70bcc|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
12793,post,شركة شحن أثاث بجدة,https://www.rukn-eltatawer.com/sa/furniture-shipping-jeddah/,furniture-shipping-jeddah,1741,0,23,32,2,58,0,2026-09-06,2026-09-10,06a72c363b8e4f91|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
10906,post,شركة تنظيف وصيانة دكتات المكيفات بجدة,https://www.rukn-eltatawer.com/sa/duct-cleaning-jeddah/,duct-cleaning-jeddah,1854,0,23,31,2,57,0,2026-09-06,2026-09-10,9e5dcee47b518cb6|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
12805,post,شركة شحن سيارات بالخبر,https://www.rukn-eltatawer.com/sa/car-shipping-khobar/,car-shipping-khobar,1724,0,23,32,2,58,0,2026-09-06,2026-09-10,357a0f11c3f81c1a|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
12821,post,شركة شحن داخلي داخل بالخبر,https://www.rukn-eltatawer.com/sa/domestic-shipping-khobar/,domestic-shipping-khobar,1706,0,23,30,2,56,0,2026-09-06,2026-09-10,5c25ceb6ea941684|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12797,post,شركة شحن أثاث بالخبر,https://www.rukn-eltatawer.com/sa/furniture-shipping-khobar/,furniture-shipping-khobar,1714,0,23,32,2,58,0,2026-09-06,2026-09-10,925ddac2f12db196|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
11010,post,شركة تنظيف وصيانة دكتات المكيفات بالخبر,https://www.rukn-eltatawer.com/sa/duct-cleaning-khobar/,duct-cleaning-khobar,1840,0,23,31,2,57,0,2026-09-06,2026-09-10,1df1a18ebe7d5d42|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
12800,post,شركة شحن سيارات بالرياض,https://www.rukn-eltatawer.com/sa/car-shipping-riyadh/,car-shipping-riyadh,1723,0,23,30,2,56,0,2026-09-05,2026-09-09,7440465f86b4100d|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار || شحن سيارات يستخدم صياغة انتقال المنازل
12816,post,شركة شحن داخلي داخل بالرياض,https://www.rukn-eltatawer.com/sa/domestic-shipping-riyadh/,domestic-shipping-riyadh,1752,0,23,32,2,58,0,2026-09-05,2026-09-09,0bd909191b493d26|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
12792,post,شركة شحن أثاث بالرياض,https://www.rukn-eltatawer.com/sa/furniture-shipping-riyadh/,furniture-shipping-riyadh,1735,0,23,32,2,58,0,2026-09-05,2026-09-09,e1ab655b263c02e8|n=12,boilerplate_overuse|intent_mismatch,عنوان شحن بينما الأسئلة تفترض شقق وفلل
10880,post,شركة تنظيف وصيانة دكتات المكيفات بالرياض,https://www.rukn-eltatawer.com/sa/duct-cleaning-riyadh/,duct-cleaning-riyadh,1875,0,23,33,2,59,0,2026-09-05,2026-09-10,c2e005783d8d9170|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13111,post,شركة غسيل وتنظيف مكيفات بأبها,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-abha/,ac-cleaning-washing-abha,1802,0,23,31,2,57,0,2026-09-05,2026-09-10,cc0ffc78fafe7040|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13110,post,شركة غسيل وتنظيف مكيفات بالطائف,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-taif/,ac-cleaning-washing-taif,1807,0,23,33,2,59,0,2026-09-05,2026-09-09,04145549da01d869|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13109,post,شركة غسيل وتنظيف مكيفات بالخبر,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-khobar/,ac-cleaning-washing-khobar,1798,0,23,33,2,59,0,2026-09-04,2026-09-11,04145549da01d869|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13108,post,شركة غسيل وتنظيف مكيفات بالدمام,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-dammam/,ac-cleaning-washing-dammam,1789,0,23,31,2,57,0,2026-09-04,2026-09-11,da0671ba72d01cd6|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13107,post,شركة غسيل وتنظيف مكيفات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-medina/,ac-cleaning-washing-medina,1912,0,23,33,2,59,0,2026-09-03,2026-09-11,46cdb4a15368fd5a|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13106,post,شركة غسيل وتنظيف مكيفات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-mecca/,ac-cleaning-washing-mecca,1860,0,23,31,2,57,0,2026-09-03,2026-09-09,47a7724d18dc2bcb|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13105,post,شركة غسيل وتنظيف مكيفات بجدة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-jeddah/,ac-cleaning-washing-jeddah,1789,0,23,31,2,57,0,2026-09-03,2026-09-11,80ab4e52ed40c378|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
13104,post,شركة غسيل وتنظيف مكيفات بالرياض,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-riyadh/,ac-cleaning-washing-riyadh,1819,0,23,31,2,57,0,2026-09-02,2026-09-11,1f2e836d6e71a5ce|n=12,boilerplate_overuse|intent_mismatch,عنوان عن تكييف بينما النص/الأسئلة تتحدث عن تنظيف منازل أو رخام وخشب
